N, Parola, Canzone, Canzoni sul totale, Autore, Apparizioni Tot
87,mente,Arrivederci tristezza,1 \ 2,Brunori sas,2
88,tenerezza,Arrivederci tristezza,1 \ 2,Brunori sas,2
89,perch,Arrivederci tristezza,1 \ 2,Brunori sas,2
90,durer,Arrivederci tristezza,1 \ 2,Brunori sas,2
91,spiace,Arrivederci tristezza,1 \ 2,Brunori sas,2
92,ragione,Arrivederci tristezza,1 \ 2,Brunori sas,2
93,culo,Arrivederci tristezza,1 \ 2,Brunori sas,2
94,dicono,Arrivederci tristezza,1 \ 2,Brunori sas,2
95,grande,Arrivederci tristezza,1 \ 2,Brunori sas,2
96,domani,Arrivederci tristezza,1 \ 2,Brunori sas,2
97,chiss,Arrivederci tristezza,1 \ 2,Brunori sas,2
98,rinascere,Arrivederci tristezza,1 \ 2,Brunori sas,2
99,meglio,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,2
100,dormici,Arrivederci tristezza,1 \ 2,Brunori sas,2
101,letto,Arrivederci tristezza,1 \ 2,Brunori sas,2
102,questo,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,2
103,servono,Arrivederci tristezza,1 \ 2,Brunori sas,2
104,cuore,Arrivederci tristezza,1 \ 2,Brunori sas,2
105,su,Arrivederci tristezza,1 \ 2,Brunori sas,2
106,perfetto,Arrivederci tristezza,1 \ 2,Brunori sas,2
107,tristezza,Arrivederci tristezza,1 \ 2,Brunori sas,2
108,intelletto,Arrivederci tristezza,1 \ 2,Brunori sas,2
109,parlo,Mr nessuno,1 \ 2,Claver Gold,2
110,chiuso,Mr nessuno,1 \ 2,Claver Gold,2
111,fare,Mr nessuno,1 \ 2,Claver Gold,2
112,con,Mr nessuno,1 \ 2,Claver Gold,2
113,coi,Mr nessuno,1 \ 2,Claver Gold,2
114,miei,Mr nessuno,1 \ 2,Claver Gold,2
115,chi,Mr nessuno,1 \ 2,Claver Gold,2
116,hanno,Mr nessuno,1 \ 2,Claver Gold,2
117,ripassato,Mr nessuno,1 \ 2,Claver Gold,2
118,dove,Mr nessuno,1 \ 2,Claver Gold,2
119,i,Mr nessuno,1 \ 2,Claver Gold,2
120,qualcuno,Mr nessuno,1 \ 2,Claver Gold,2
121,scappare,Mr nessuno,1 \ 2,Claver Gold,2
122,prima,Mr nessuno,1 \ 2,Claver Gold,2
123,c,Mr nessuno,1 \ 2,Claver Gold,2
124,era,Mr nessuno,1 \ 2,Claver Gold,2
125,va,Mr nessuno,1 \ 2,Claver Gold,2
126,sponda,Mr nessuno,1 \ 2,Claver Gold,2
127,dici,Arrivederci tristezza,1 \ 2,Brunori sas,1
128,amore,Arrivederci tristezza,1 \ 2,Brunori sas,1
129,senza,Arrivederci tristezza,1 \ 2,Brunori sas,1
130,virt,Arrivederci tristezza,1 \ 2,Brunori sas,1
131,coglione,Arrivederci tristezza,1 \ 2,Brunori sas,1
132,duro,Arrivederci tristezza,1 \ 2,Brunori sas,1
133,mulo,Arrivederci tristezza,1 \ 2,Brunori sas,1
134,nome,Arrivederci tristezza,1 \ 2,Brunori sas,1
135,preso,Arrivederci tristezza,1 \ 2,Brunori sas,1
136,nutrire,Arrivederci tristezza,1 \ 2,Brunori sas,1
137,gi,Arrivederci tristezza,1 \ 2,Brunori sas,1
138,miliardi,Arrivederci tristezza,1 \ 2,Brunori sas,1
139,stelle,Arrivederci tristezza,1 \ 2,Brunori sas,1
140,vuoi,Arrivederci tristezza,1 \ 2,Brunori sas,1
141,cielo,Arrivederci tristezza,1 \ 2,Brunori sas,1
142,avere,Arrivederci tristezza,1 \ 2,Brunori sas,1
143,amarezza,Arrivederci tristezza,1 \ 2,Brunori sas,1
144,stammi,Arrivederci tristezza,1 \ 2,Brunori sas,1
